"Countries,""Cost of living, 2017"",Global rank,Available data"
Bermuda,225.86,1,2017 - 2017
Iceland,209.1,2,2017 - 2017
Switzerland,197.89,3,2017 - 2017
Norway,186.52,4,2017 - 2017
Denmark,171.78,5,2017 - 2017
Barbados,169.9,6,2017 - 2017
Australia,168.02,7,2017 - 2017
Israel,167.52,8,2017 - 2017
New Zealand,160.18,9,2017 - 2017
Bahamas,158.09,10,2017 - 2017
Ireland,157.19,11,2017 - 2017
Luxembourg,156.4,12,2017 - 2017
Sweden,155.01,13,2017 - 2017
Finland,151.13,14,2017 - 2017
Japan,144.44,15,2017 - 2017
UK,144.03,16,2017 - 2017
USA,143.34,17,2017 - 2017
Canada,142.12,18,2017 - 2017
Netherlands,137.57,19,2017 - 2017
Belgium,136.89,20,2017 - 2017
France,135.27,21,2017 - 2017
Austria,134.56,22,2017 - 2017
Ant.& Barb.,131.03,23,2017 - 2017
Germany,127.47,24,2017 - 2017
Italy,124.24,25,2017 - 2017
Uruguay,124.24,26,2017 - 2017
South Korea,123.53,27,2017 - 2017
Aruba,118.56,28,2017 - 2017
Hong Kong,114.81,29,2017 - 2017
Spain,113.82,30,2017 - 2017
Qatar,113.61,31,2017 - 2017
Montserrat,112.43,32,2017 - 2017
Singapore,112.16,33,2017 - 2017
UA Emirates,110.65,34,2017 - 2017
Saint Lucia,110.38,35,2017 - 2017
Cyprus,108.2,36,2017 - 2017
Portugal,106.46,37,2017 - 2017
Belize,105.86,38,2017 - 2017
Chile,105.82,39,2017 - 2017
Greece,104.66,40,2017 - 2017
Brazil,104.54,41,2017 - 2017
Slovenia,103.47,42,2017 - 2017
Malta,101.71,43,2017 - 2017
Dominica,99.61,44,2017 - 2017
Estonia,96.58,45,2017 - 2017
St. Vincent & ...,95.93,46,2017 - 2017
Grenada,95.54,47,2017 - 2017
Seychelles,94.81,48,2017 - 2017
Costa Rica,94.13,49,2017 - 2017
Slovakia,93.82,50,2017 - 2017
Argentina,93.54,51,2017 - 2017
Angola,92.68,52,2017 - 2017
Maldives,91.24,53,2017 - 2017
Latvia,89.68,54,2017 - 2017
Tr.&Tobago,89.05,55,2017 - 2017
Kuwait,88.57,56,2017 - 2017
China,87.94,57,2017 - 2017
Djibouti,84.48,58,2017 - 2017
Czechia,83.97,59,2017 - 2017
Peru,83.26,60,2017 - 2017
Croatia,82.76,61,2017 - 2017
Ecuador,82.35,62,2017 - 2017
Lithuania,79.09,63,2017 - 2017
Oman,78.88,64,2017 - 2017
Jamaica,78.85,65,2017 - 2017
Gabon,78.6,66,2017 - 2017
Taiwan,78.15,67,2017 - 2017
Guyana,78.11,68,2017 - 2017
Bahrain,77.81,69,2017 - 2017
Hungary,77.19,70,2017 - 2017
C.A. Republic,75.56,71,2017 - 2017
Eq. Guinea,74.93,72,2017 - 2017
Mauritius,74.87,73,2017 - 2017
Mexico,74.69,74,2017 - 2017
Namibia,74.28,75,2017 - 2017
El Salvador,73.82,76,2017 - 2017
Domin. Rep.,73.55,77,2017 - 2017
Panama,72.83,78,2017 - 2017
Brunei,72.31,79,2017 - 2017
S.T.&Principe,70.92,80,2017 - 2017
R. of Congo,70.42,81,2017 - 2017
South Africa,70.41,82,2017 - 2017
Comoros,70.11,83,2017 - 2017
Poland,70.08,84,2017 - 2017
Haiti,70.01,85,2017 - 2017
Cape Verde,69.79,86,2017 - 2017
Zimbabwe,69.53,87,2017 - 2017
Botswana,69.39,88,2017 - 2017
Colombia,68.94,89,2017 - 2017
Fiji,68.38,90,2017 - 2017
Montenegro,67.81,91,2017 - 2017
Jordan,66.64,92,2017 - 2017
Saudi Arabia,65.89,93,2017 - 2017
Honduras,65.87,94,2017 - 2017
Swaziland,65.77,95,2017 - 2017
Paraguay,65.46,96,2017 - 2017
Bosnia & Herz.,64.74,97,2017 - 2017
Turkey,64.7,98,2017 - 2017
Serbia,64.05,99,2017 - 2017
Romania,63.98,100,2017 - 2017
Zambia,63.6,101,2017 - 2017
Morocco,63.47,102,2017 - 2017
Iraq,63.39,103,2017 - 2017
Russia,61.96,104,2017 - 2017
DR Congo,61.73,105,2017 - 2017
Liberia,61.04,106,2017 - 2017
Bulgaria,60.89,107,2017 - 2017
Ivory Coast,60.86,108,2017 - 2017
Albania,60.79,109,2017 - 2017
Togo,60.73,110,2017 - 2017
Niger,60.37,111,2017 - 2017
Iran,60.16,112,2017 - 2017
Senegal,58.75,113,2017 - 2017
Chad,58.53,114,2017 - 2017
Cameroon,58.34,115,2017 - 2017
North Macedonia,58.3,116,2017 - 2017
Kenya,57.71,117,2017 - 2017
Ghana,57.69,118,2017 - 2017
Malaysia,57.56,119,2017 - 2017
G.-Bissau,57.18,120,2017 - 2017
Lesotho,56.38,121,2017 - 2017
Thailand,56.12,122,2017 - 2017
Suriname,55.71,123,2017 - 2017
Philippines,55.15,124,2017 - 2017
Kazakhstan,55.08,125,2017 - 2017
Nicaragua,54.99,126,2017 - 2017
Indonesia,54.52,127,2017 - 2017
Burundi,54.25,128,2017 - 2017
Benin,54.05,129,2017 - 2017
Bolivia,53.79,130,2017 - 2017
Laos,53.79,131,2017 - 2017
Georgia,52.82,132,2017 - 2017
Cambodia,52.69,133,2017 - 2017
Bangladesh,52.6,134,2017 - 2017
Nigeria,52.55,135,2017 - 2017
Sri Lanka,52.19,136,2017 - 2017
Mongolia,51.32,137,2017 - 2017
Ethiopia,51.03,138,2017 - 2017
Rwanda,50.63,139,2017 - 2017
Mali,50.55,140,2017 - 2017
Guinea,50.48,141,2017 - 2017
Vietnam,50.03,142,2017 - 2017
Mauritania,49.9,143,2017 - 2017
Armenia,49.68,144,2017 - 2017
Mozambique,49.57,145,2017 - 2017
Moldova,49.48,146,2017 - 2017
Algeria,49.36,147,2017 - 2017
Burkina Faso,49.19,148,2017 - 2017
Tanzania,48.53,149,2017 - 2017
Uganda,48.47,150,2017 - 2017
Malawi,47.49,151,2017 - 2017
Gambia,46.48,152,2017 - 2017
Belarus,45.75,153,2017 - 2017
Pakistan,45.2,154,2017 - 2017
Bhutan,45.07,155,2017 - 2017
Madagascar,44.3,156,2017 - 2017
Tunisia,43.98,157,2017 - 2017
Tajikistan,43.51,158,2017 - 2017
India,42.86,159,2017 - 2017
Nepal,41.85,160,2017 - 2017
Sierra Leone,41.32,161,2017 - 2017
Burma,41.08,162,2017 - 2017
Azerbaijan,40.56,163,2017 - 2017
Kyrgyzstan,40.38,164,2017 - 2017
Sudan,38.29,165,2017 - 2017
Ukraine,37.76,166,2017 - 2017
Egypt,27.37,167,2017 - 2017